,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0.813,0.56,2,-5.904,0,0.0618,0.108,0.0,0.268,0.287,118.033,286041,4
1,0.672,0.745,5,-5.269,0,0.3,0.438,9.29e-06,0.0699,0.739,173.974,413111,4
2,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,224693,4
3,0.734,0.933,11,-4.639,0,0.0578,0.0375,0.0,0.302,0.935,120.987,218413,4
4,0.709,0.801,0,-4.688,1,0.0533,0.0252,0.0,0.159,0.829,128.007,189840,4
5,0.894,0.858,9,-2.348,1,0.188,0.024,0.0,0.263,0.96,96.065,172559,4
6,0.742,0.874,9,-4.328,1,0.0835,0.021,0.0,0.251,0.814,96.935,161664,4
7,0.819,0.781,1,-4.879,1,0.0547,0.0323,0.0012,0.121,0.385,100.062,163680,4
8,0.843,0.789,7,-2.801,1,0.247,0.0028,2.41e-05,0.0322,0.571,125.071,182413,4
9,0.898,0.677,11,-6.422,0,0.243,0.0223,0.0,0.35,0.578,130.027,154493,4
10,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,248769,4
11,0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,240413,4
12,0.824,0.819,4,-4.336,0,0.0786,0.125,2.45e-05,0.137,0.616,92.001,182863,4
13,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088,4
14,0.698,0.845,7,-4.705,1,0.12,0.176,0.0,0.239,0.749,171.938,276105,4
15,0.826,0.878,6,-2.389,0,0.0599,0.0242,0.0,0.0789,0.686,94.994,145120,4
16,0.711,0.839,7,-6.288,1,0.117,0.0472,0.0,0.0806,0.932,179.936,190880,4
17,0.819,0.955,7,-0.521,0,0.0908,0.161,2.08e-05,0.289,0.725,89.959,226500,4
18,0.793,0.631,10,-5.862,0,0.0381,0.333,0.00136,0.24,0.331,127.946,226547,4
19,0.754,0.841,11,-3.19,1,0.135,0.113,0.0,0.466,0.541,128.019,267547,4
20,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
21,0.924,0.723,8,-3.142,1,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,130667,4
22,0.859,0.616,0,-5.645,0,0.129,0.712,0.196,0.0935,0.722,137.054,168571,4
23,0.803,0.579,4,-4.584,0,0.0512,0.525,7.02e-05,0.124,0.342,131.924,160089,4
24,0.83,0.698,1,-5.549,0,0.163,0.224,0.00065,0.0761,0.825,144.929,216828,4
25,0.77,0.859,0,-4.526,0,0.0429,0.468,0.00339,0.103,0.548,122.042,177583,4
26,0.669,0.628,2,-4.177,1,0.0526,0.294,1.83e-05,0.124,0.784,83.803,177857,4
27,0.657,0.702,9,-7.667,0,0.0482,0.0723,0.0,0.188,0.75,145.022,211394,4
28,0.656,0.823,1,-3.059,0,0.315,0.47,0.0,0.103,0.755,96.474,160000,4
29,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,4
30,0.755,0.698,10,-5.554,1,0.106,0.14,0.0,0.12,0.678,176.022,171691,4
31,0.776,0.629,0,-6.09,1,0.0505,0.0268,0.0,0.114,0.104,97.066,209147,4
32,0.731,0.879,11,-3.881,0,0.0743,0.111,0.00272,0.291,0.656,93.001,172907,4
33,0.745,0.994,2,-2.194,0,0.0497,0.0909,0.0546,0.0684,0.972,122.049,202827,4
34,0.819,0.741,8,-6.538,0,0.0412,0.104,0.0,0.283,0.84,97.014,210933,4
35,0.76,0.9,5,-4.782,1,0.0668,0.0715,0.0,0.221,0.761,100.046,209493,4
36,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,204600,4
37,0.872,0.786,1,-5.473,1,0.142,0.0348,0.0,0.0776,0.722,95.986,172680,4
38,0.703,0.909,4,-4.456,0,0.0358,0.216,1.57e-06,0.162,0.777,97.982,239920,4
39,0.675,0.919,11,-6.075,0,0.0366,0.0606,0.00653,0.103,0.726,97.017,252773,4
40,0.732,0.708,9,-7.905,0,0.262,0.534,0.0,0.237,0.717,175.924,267787,4
41,0.671,0.881,9,-4.331,0,0.305,0.528,0.0,0.383,0.733,179.968,254080,4
42,0.808,0.682,2,-7.128,1,0.0963,0.171,1.42e-06,0.464,0.491,89.987,235627,4
43,0.73,0.732,4,-5.167,0,0.051,0.0427,2.22e-06,0.262,0.974,129.974,180453,4
44,0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667,4
45,0.761,0.876,6,-5.705,0,0.0658,0.00967,0.00444,0.103,0.352,121.032,193237,4
