,title,artists,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Diles,Bad Bunny,spotify:track:6C1RD7YQVvt3YQj0CmuTeu,0.813,0.56,2,-5.904,0,0.0618,0.108,0.0,0.268,0.287,118.033,286041,4
7,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",La Pantera,spotify:track:0Bv7O6fmZk3GrNQFYJaXPn,0.672,0.745,5,-5.269,0,0.3,0.438,9.29e-06,0.0699,0.739,173.974,413111,4
14,Limbo,Daddy Yankee,spotify:track:3pDhN3qB33AOPhQEkUCaWt,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,224693,4
15,Lovumba,Daddy Yankee,spotify:track:6oyl7ELfrMqXLhGmIjXY9R,0.734,0.933,11,-4.639,0,0.0578,0.0375,0.0,0.302,0.935,120.987,218413,4
16,No Sigue Modas,Juan Magán,spotify:track:0Qqrehp0IC6ppqIUz6mPCe,0.709,0.801,0,-4.688,1,0.0533,0.0252,0.0,0.159,0.829,128.007,189840,4
17,Te Pintaron Pajaritos,Yandar & Yostin,spotify:track:4jY5SnGbpH6FdGCqVbhOD4,0.894,0.858,9,-2.348,1,0.188,0.024,0.0,0.263,0.96,96.065,172559,4
19,EL ABUSADOR DEL ABUSADOR,Daddy Yankee,spotify:track:6rEpJ5uF56xgL2r61xABqc,0.742,0.874,9,-4.328,1,0.0835,0.021,0.0,0.251,0.814,96.935,161664,4
20,REMIX,Daddy Yankee,spotify:track:65MqlYPOWReasKWcuCaOCW,0.819,0.781,1,-4.879,1,0.0547,0.0323,0.0012,0.121,0.385,100.062,163680,4
21,BOMBÓN,Daddy Yankee,spotify:track:4OAPnWJ3J5w4c4IBLh2chn,0.843,0.789,7,-2.801,1,0.247,0.0028,2.41e-05,0.0322,0.571,125.071,182413,4
24,HOT,Daddy Yankee,spotify:track:5Pg4qYTcvCUBBq3jBhKq0t,0.898,0.677,11,-6.422,0,0.243,0.0223,0.0,0.35,0.578,130.027,154493,4
26,RUMBATÓN,Daddy Yankee,spotify:track:3XjN0mvFkQp1FMVM9Ro5hm,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,248769,4
27,Pantysito,Alejo,spotify:track:4srcMdbm2qzVG98tJajHxp,0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,240413,4
30,Envolver Remix,Anitta,spotify:track:4B7mXGdCLQFulSxPTIEjPu,0.824,0.819,4,-4.336,0,0.0786,0.125,2.45e-05,0.137,0.616,92.001,182863,4
32,MAMIII,Becky G,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088,4
34,"La Pared 720 (feat. Justin Quiles, Brray)",Lenny Tavárez,spotify:track:0fxnCHHRsFXLlMLtgjfwRL,0.698,0.845,7,-4.705,1,0.12,0.176,0.0,0.239,0.749,171.938,276105,4
39,FRIKI,Feid,spotify:track:2WrqTrNIHqfcMCgmEo0A7E,0.826,0.878,6,-2.389,0,0.0599,0.0242,0.0,0.0789,0.686,94.994,145120,4
41,Se Menea,Don Omar,spotify:track:1ZcrHpBbILPNfhBtPhQVHh,0.711,0.839,7,-6.288,1,0.117,0.0472,0.0,0.0806,0.932,179.936,190880,4
43,Sal y Perrea - Remix,Sech,spotify:track:1mG8VynhqySA52bALfYrvO,0.819,0.955,7,-0.521,0,0.0908,0.161,2.08e-05,0.289,0.725,89.959,226500,4
46,Helicóptero,Farruko,spotify:track:5PpwwiaSqIzLyzboENB4QO,0.793,0.631,10,-5.862,0,0.0381,0.333,0.00136,0.24,0.331,127.946,226547,4
47,El Incomprendido,Farruko,spotify:track:2mL37yB3f3Lfy4iiXV02Qf,0.754,0.841,11,-3.19,1,0.135,0.113,0.0,0.466,0.541,128.019,267547,4
50,Pepas,Farruko,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
51,In Da Getto,J Balvin,spotify:track:1q0PYXTbDsirp2l74ng6pn,0.924,0.723,8,-3.142,1,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,130667,4
53,Combo la L,Beny Jr,spotify:track:0wAwFw9ni4NSyeUo3Con2o,0.859,0.616,0,-5.645,0,0.129,0.712,0.196,0.0935,0.722,137.054,168571,4
55,Color Caramelo,Beny Jr,spotify:track:0tqOrNifmUgu2xgbKesHk3,0.803,0.579,4,-4.584,0,0.0512,0.525,7.02e-05,0.124,0.342,131.924,160089,4
57,Pelele,Morad,spotify:track:5h5TUj8pU2WhdSeJx9BnX2,0.83,0.698,1,-5.549,0,0.163,0.224,0.00065,0.0761,0.825,144.929,216828,4
58,"Morad: Bzrp Music Sessions, Vol. 47",Bizarrap,spotify:track:39yyHtQ4tkjZzd8TfIBKQw,0.77,0.859,0,-4.526,0,0.0429,0.468,0.00339,0.103,0.548,122.042,177583,4
60,Salimo de Noche,Tiago PZK,spotify:track:6P096SaOzrgGxs8NWOfX7M,0.669,0.628,2,-4.177,1,0.0526,0.294,1.83e-05,0.124,0.784,83.803,177857,4
62,Sin Frenos,Eladio Carrion,spotify:track:1b62AO1IzcVr5SOgoguc9o,0.657,0.702,9,-7.667,0,0.0482,0.0723,0.0,0.188,0.75,145.022,211394,4
65,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,spotify:track:2Gq636OOGgxCTqEuzCZhsa,0.656,0.823,1,-3.059,0,0.315,0.47,0.0,0.103,0.755,96.474,160000,4
67,Desesperados,Rauw Alejandro,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,4
69,2010,Mora,spotify:track:6XHBJ1LSOcVINYXAAd6KIH,0.755,0.698,10,-5.554,1,0.106,0.14,0.0,0.12,0.678,176.022,171691,4
70,Sensual Bebé,Jhayco,spotify:track:1xqbfjRuUw0ot43wgBuVkt,0.776,0.629,0,-6.09,1,0.0505,0.0268,0.0,0.114,0.104,97.066,209147,4
71,Descontrol,Daddy Yankee,spotify:track:42RRK0WSxwG117CEFHdGOY,0.731,0.879,11,-3.881,0,0.0743,0.111,0.00272,0.291,0.656,93.001,172907,4
72,La Despedida,Daddy Yankee,spotify:track:33a2zTGZocgU9XVDDILHM3,0.745,0.994,2,-2.194,0,0.0497,0.0909,0.0546,0.0684,0.972,122.049,202827,4
73,"Lo Que Pasó, Pasó",Daddy Yankee,spotify:track:26QKsGW4hMuwiEE1ftUMHe,0.819,0.741,8,-6.538,0,0.0412,0.104,0.0,0.283,0.84,97.014,210933,4
74,Ella Me Levanto,Daddy Yankee,spotify:track:7fGODUqa0gtkb72oBVCgCD,0.76,0.9,5,-4.782,1,0.0668,0.0715,0.0,0.221,0.761,100.046,209493,4
75,Dile,Don Omar,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,204600,4
76,Rakata,Wisin & Yandel,spotify:track:5uVjUTstAPE3lhgjNSVGUB,0.872,0.786,1,-5.473,1,0.142,0.0348,0.0,0.0776,0.722,95.986,172680,4
77,Llamado de Emergencia,Daddy Yankee,spotify:track:2jnZUvhw2LTvDI6YidRVcO,0.703,0.909,4,-4.456,0,0.0358,0.216,1.57e-06,0.162,0.777,97.982,239920,4
78,Ven Bailalo - Reggaeton Mix,Angel Y Khriz,spotify:track:5nZYc9ZDMhlXv6iWahZTU8,0.675,0.919,11,-6.075,0,0.0366,0.0606,0.00653,0.103,0.726,97.017,252773,4
79,Ella Y Yo - Featuring Don Omar,Aventura,spotify:track:6G4U9avyBNEfP0fAIduev3,0.732,0.708,9,-7.905,0,0.262,0.534,0.0,0.237,0.717,175.924,267787,4
81,Mayor Que Yo,Baby Ranks,spotify:track:7pMWE6h8thBOq9YnFzBEpy,0.671,0.881,9,-4.331,0,0.305,0.528,0.0,0.383,0.733,179.968,254080,4
86,El Telefono,"Héctor ""El Father""",spotify:track:614NVFo5csQqRnryl4jXs2,0.808,0.682,2,-7.128,1,0.0963,0.171,1.42e-06,0.464,0.491,89.987,235627,4
88,Bailando por Ahi,Juan Magán,spotify:track:6sHBvzRsuGunQTfCk18KXi,0.73,0.732,4,-5.167,0,0.051,0.0427,2.22e-06,0.262,0.974,129.974,180453,4
89,Pa' Que Retozen,Tego Calderón,spotify:track:5YJ4BVvTFmVCxUyhKejHfR,0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667,4
90,Llorando en un Ferrari,Anuel AA,spotify:track:0x4Kmsd1YLB9emO8thJ62U,0.761,0.876,6,-5.705,0,0.0658,0.00967,0.00444,0.103,0.352,121.032,193237,4
91,Dictadura,Anuel AA,spotify:track:4yoc5cUWk4OFvqOcvFvw0o,0.822,0.708,1,-4.651,0,0.0825,0.169,1.84e-05,0.114,0.456,94.974,208008,4
92,Unfollow,Duki,spotify:track:1rxX4SkYDqluMJcYSijMSH,0.818,0.648,2,-3.847,0,0.131,0.0166,1.01e-05,0.177,0.713,92.019,196727,4
95,Amanece,Anuel AA,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039,190005,4
97,A Solas - Remix,Lunay,spotify:track:1fXEkSum1vbTa3w0yvYzYW,0.62,0.744,6,-2.576,0,0.142,0.66,5.8e-06,0.141,0.589,180.014,273198,4
102,Adictiva,Daddy Yankee,spotify:track:6MJUCumnQsQEKbCy28tbCP,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4
104,Secreto,Anuel AA,spotify:track:5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
106,Baila Baila Baila - Remix,Ozuna,spotify:track:7mWFF4gPADjTQjC97CgFVt,0.785,0.572,2,-7.504,1,0.123,0.0598,0.0,0.218,0.49,100.016,235284,4
111,China,Anuel AA,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,0.786,0.808,7,-3.702,1,0.0881,0.0846,0.000289,0.0822,0.608,105.029,301714,4
116,Soltera - Remix,Lunay,spotify:track:4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.799,92.01,266087,4
119,Tusa,KAROL G,spotify:track:0dKg2vGC1hFqcK5LGTaKzX,0.799,0.701,2,-3.272,1,0.282,0.309,7.36e-05,0.0514,0.607,100.946,201920,4
121,Otro Trago - Remix,Sech,spotify:track:4bTZeO72FwMa6wKOiqoynL,0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773,4
126,Cuaderno,Dalex,spotify:track:7anSoGdgtmJTAPZBzcPhO6,0.681,0.648,1,-5.021,0,0.38,0.523,0.0,0.104,0.688,172.02,286507,4
133,Que Mas Pues - Remix,Sech,spotify:track:7fODjB7BrQTGqh0hogW6XD,0.647,0.661,11,-5.027,1,0.2,0.121,2.27e-06,0.12,0.811,113.358,305962,5
140,Callaita,Bad Bunny,spotify:track:2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
142,La Playa,Myke Towers,spotify:track:6768f4xbHQBpJo5lvFVNvs,0.796,0.683,10,-2.754,0,0.15,0.108,0.0,0.107,0.353,140.108,207731,4
143,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,spotify:track:6osaMSJh9NguagEDQcZaKx,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195,4
146,No Me Conoce - Remix,Jhayco,spotify:track:4R8BJggjosTswLxtkw8V7P,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120,4
149,Si Se Da - Remix,Myke Towers,spotify:track:6K5BsR04ijf3FHNzjbaagD,0.817,0.672,11,-5.612,0,0.299,0.441,0.0,0.13,0.774,93.999,332240,4
154,Mírame - Remix,Nio Garcia,spotify:track:7meQTf97i7gyAzeHTLIytv,0.739,0.832,1,-3.244,1,0.151,0.119,1.35e-05,0.245,0.776,176.04,377580,4
160,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,spotify:track:1ndyl3wJCFs872XZ3ztPk6,0.743,0.709,3,-3.922,0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,258600,4
166,Piensan,Myke Towers,spotify:track:1A9PKAFEHMWgXNLpgf7k4J,0.677,0.722,2,-4.443,0,0.0626,0.538,0.0,0.11,0.786,172.0,173452,4
