,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0.309,0.258,9,-15.327,1,0.0459,0.976,0.69,0.0924,0.115,74.568,890000,4
1,0.628,0.226,10,-14.075,0,0.0371,0.903,5.66e-06,0.171,0.608,99.392,173493,4
2,0.228,0.263,3,-10.12,1,0.0275,0.896,0.317,0.103,0.224,83.903,204240,4
3,0.463,0.654,8,-9.72,1,0.0659,0.824,0.917,0.372,0.592,175.204,209573,4
4,0.479,0.318,0,-13.836,1,0.0395,0.278,0.0959,0.107,0.575,94.036,331800,4
5,0.636,0.24,3,-11.832,1,0.0323,0.963,0.00513,0.588,0.685,113.888,192160,4
6,0.241,0.168,0,-16.267,1,0.0442,0.965,0.114,0.373,0.556,84.749,201840,3
7,0.31,0.0863,3,-15.11,1,0.0456,0.918,0.0,0.117,0.321,83.915,181400,4
8,0.873,0.3,9,-12.112,1,0.0348,0.8,0.0,0.0909,0.96,109.38,169040,4
9,0.299,0.11,2,-13.201,0,0.0348,0.869,0.0,0.172,0.452,70.987,190893,4
10,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,191973,3
11,0.727,0.285,2,-14.098,1,0.0457,0.901,0.0,0.141,0.759,120.195,159507,4
12,0.408,0.292,3,-11.885,1,0.0371,0.971,2.21e-05,0.122,0.409,141.044,159773,4
13,0.363,0.484,5,-3.0,1,0.0297,0.902,0.000208,0.269,0.42,135.743,176640,4
14,0.497,0.489,11,-7.052,1,0.0318,0.81,3.17e-06,0.318,0.717,135.464,165280,4
15,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,177480,3
16,0.565,0.137,4,-15.881,1,0.0444,0.987,1.94e-05,0.1,0.546,111.688,132493,4
17,0.388,0.832,11,-9.718,1,0.0385,0.592,0.0,0.135,0.91,151.298,143667,3
18,0.766,0.573,7,-11.471,1,0.0681,0.614,0.556,0.715,0.796,116.433,276000,4
19,0.439,0.0529,9,-16.253,1,0.039,0.881,0.0,0.106,0.314,109.382,162067,3
20,0.557,0.66,2,-7.706,1,0.056,0.654,1.66e-06,0.138,0.962,95.252,119200,4
21,0.694,0.295,9,-8.672,1,0.0611,0.843,1.42e-06,0.0856,0.729,93.577,127960,4
22,0.585,0.371,1,-7.398,1,0.036,0.508,0.0,0.0957,0.625,127.291,222147,4
23,0.811,0.859,9,-6.317,1,0.168,0.205,3.73e-06,0.0761,0.784,90.686,129893,4
24,0.369,0.49,9,-8.966,1,0.0423,0.168,0.0,0.193,0.362,79.402,158720,4
25,0.68,0.675,2,-7.998,1,0.191,0.772,0.0,0.069,0.805,84.967,122867,4
26,0.329,0.16,10,-15.606,1,0.0324,0.842,0.000101,0.146,0.232,80.359,213920,4
27,0.424,0.658,5,-6.706,1,0.108,0.748,0.0,0.148,0.853,184.346,130293,4
28,0.435,0.229,2,-8.367,1,0.0649,0.993,0.0,0.111,0.553,146.642,95067,3
29,0.715,0.797,3,-10.154,1,0.193,0.837,0.0,0.209,0.841,92.739,144600,4
30,0.663,0.758,10,-10.07,0,0.0571,0.272,0.0,0.319,0.814,157.198,166840,4
31,0.611,0.381,10,-15.462,1,0.0347,0.872,0.698,0.102,0.706,115.148,154547,4
32,0.628,0.589,10,-8.319,0,0.0827,0.253,0.000116,0.0889,0.919,166.773,147013,4
33,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,298133,5
34,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,147880,3
35,0.77,0.496,0,-11.879,1,0.359,0.811,0.0,0.0795,0.911,92.004,185867,4
36,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,150960,4
37,0.407,0.826,8,-8.29,1,0.0495,0.693,1.57e-05,0.285,0.891,192.21,150867,4
38,0.516,0.374,0,-17.054,1,0.0598,0.848,3.89e-05,0.086,0.726,174.185,130133,4
39,0.547,0.523,9,-9.176,1,0.0572,0.724,0.0,0.103,0.89,169.598,142907,4
40,0.551,0.576,7,-8.49,1,0.0325,0.762,0.0,0.803,0.919,142.814,140520,4
41,0.4,0.818,0,-11.238,1,0.08,0.458,3.25e-06,0.132,0.936,166.287,109707,4
42,0.65,0.89,9,-8.11,1,0.0553,0.611,0.056,0.0786,0.972,114.513,126667,4
43,0.433,0.322,2,-14.105,1,0.0376,0.898,9.75e-06,0.23,0.497,99.202,204904,4
44,0.571,0.196,3,-13.216,1,0.0278,0.811,0.0,0.142,0.555,88.728,134560,4
45,0.419,0.331,3,-10.497,1,0.0293,0.932,0.0,0.102,0.322,80.647,160093,4
46,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,150133,4
47,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44e-06,0.072,0.531,115.71,160667,3
48,0.192,0.285,3,-7.276,1,0.0304,0.903,0.00134,0.0911,0.163,105.129,185051,4
49,0.54,0.45,5,-10.148,1,0.0587,0.586,0.0,0.0357,0.963,185.03,144880,4
50,0.243,0.171,1,-17.543,1,0.037,0.814,0.00523,0.102,0.0897,126.599,191200,4
51,0.377,0.615,0,-8.431,1,0.0309,0.812,0.000322,0.154,0.553,161.532,173159,4
52,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560,4
53,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,143333,4
54,0.547,0.3,3,-13.973,1,0.107,0.777,0.0,0.0653,0.811,97.793,187200,4
